,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,FHD,FHD,FHD,SHO_R,SHO_R,SHO_R,KNE_L,KNE_L,KNE_L,CHE,CHE,CHE,TOE_R,TOE_R,TOE_R,ANK_R,ANK_R,ANK_R,JAW,JAW,JAW,KNE_R,KNE_R,KNE_R,TOE_L,TOE_L,TOE_L,SHO_L,SHO_L,SHO_L,ANK_L,ANK_L,ANK_L,ASI_R,ASI_R,ASI_R,WRI_L,WRI_L,WRI_L,ELB_L,ELB_L,ELB_L,ASI_L,ASI_L,ASI_L,WRI_R,WRI_R,WRI_R,ELB_R,ELB_R,ELB_R
,ID,おでこ,おでこ,おでこ,右肩,右肩,右肩,左膝,左膝,左膝,胸骨,胸骨,胸骨,右爪先,右爪先,右爪先,右足首,右足首,右足首,あご,あご,あご,右膝,右膝,右膝,左爪先,左爪先,左爪先,左肩,左肩,左肩,左足首,左足首,左足首,右骨盤,右骨盤,右骨盤,左手首,左手首,左手首,左肘,左肘,左肘,左骨盤,左骨盤,左骨盤,右手首,右手首,右手首,右肘,右肘,右肘
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
994,8.283333,-0.378739,1.424060,0.279281,-0.158585,1.233131,0.494984,0.045430,0.463829,0.191694,-0.101291,1.012477,0.291379,0.062912,0.028730,0.454430,0.215916,0.074142,0.509348,-0.330977,1.245857,0.275355,0.020166,0.471954,0.414734,0.074464,0.030135,0.123072,-0.133340,1.220556,0.031339,0.227367,0.066063,0.087550,0.155584,0.895346,0.437769,0.054078,0.743768,-0.093360,0.011892,0.998518,-0.051411,0.161249,0.899490,0.151215,0.038712,0.719637,0.647567,0.002174,0.964582,0.613884
995,8.291667,-0.376770,1.428011,0.279177,-0.157131,1.235969,0.494952,0.044548,0.463756,0.191559,-0.100856,1.015039,0.291448,0.063107,0.028708,0.454472,0.214287,0.074978,0.509262,-0.329771,1.249840,0.275129,0.018948,0.472104,0.414921,0.074358,0.030236,0.123051,-0.133529,1.223511,0.031290,0.226782,0.066503,0.087377,0.154848,0.895836,0.437914,0.052245,0.744862,-0.093430,0.010391,1.000198,-0.051434,0.160590,0.899808,0.151323,0.035530,0.720924,0.647105,0.002419,0.966094,0.613900
996,8.300000,-0.374414,1.431813,0.279095,-0.158314,1.239213,0.494572,0.043669,0.463620,0.191479,-0.101613,1.017781,0.291351,0.062912,0.028787,0.454502,0.214722,0.074996,0.509425,-0.328551,1.253589,0.274813,0.018393,0.472116,0.415156,0.074502,0.030148,0.123019,-0.131767,1.226362,0.031228,0.226777,0.066610,0.087249,0.154243,0.896375,0.438062,0.049805,0.746039,-0.093484,0.009718,1.001824,-0.051435,0.159409,0.900163,0.151417,0.032417,0.722280,0.646729,-0.000946,0.967947,0.613352
997,8.308333,-0.372507,1.435423,0.278973,-0.155739,1.242056,0.494645,0.042684,0.463555,0.191413,-0.101567,1.020228,0.291420,0.062851,0.028806,0.454520,0.214870,0.075038,0.509485,-0.327765,1.257043,0.274499,0.017347,0.472191,0.415319,0.075018,0.029959,0.123023,-0.131754,1.229150,0.031206,0.226556,0.066689,0.087158,0.152637,0.896997,0.438114,0.046793,0.747210,-0.093494,0.009626,1.003382,-0.051571,0.158335,0.900422,0.151518,0.028061,0.723854,0.646085,-0.002228,0.969537,0.613139
998,8.316667,-0.371441,1.438957,0.278760,-0.157230,1.245001,0.494213,0.042149,0.463295,0.191334,-0.102049,1.022797,0.291349,0.062744,0.028873,0.454521,0.213997,0.075337,0.509382,-0.326475,1.260403,0.274276,0.016245,0.472244,0.415498,0.074940,0.029986,0.122985,-0.130184,1.231833,0.031124,0.226853,0.066491,0.087126,0.151279,0.897471,0.438177,0.043985,0.748368,-0.093515,0.008066,1.004980,-0.051560,0.157087,0.900687,0.151646,0.025284,0.725117,0.645781,-0.003853,0.971180,0.612862
999,8.325000,-0.368837,1.442389,0.278715,-0.153511,1.247810,0.494486,0.041849,0.462971,0.191273,-0.101527,1.025067,0.291467,0.062771,0.028880,0.454549,0.214748,0.075015,0.509395,-0.324788,1.263776,0.274055,0.016523,0.471838,0.415780,0.074596,0.030107,0.122984,-0.130137,1.234334,0.031114,0.227075,0.066269,0.087143,0.150776,0.897857,0.438339,0.040437,0.749613,-0.093457,0.006793,1.006392,-0.051529,0.156235,0.900846,0.151753,0.022079,0.726373,0.645432,-0.004097,0.972687,0.612774
1000,8.333333,-0.367844,1.445438,0.278568,-0.154720,1.250402,0.494056,0.041250,0.462743,0.191228,-0.102340,1.027336,0.291397,0.062813,0.028852,0.454542,0.214817,0.074829,0.509326,-0.323300,1.266904,0.273761,0.016495,0.471564,0.415969,0.074524,0.030136,0.122981,-0.128940,1.236770,0.031059,0.227077,0.066036,0.087200,0.149837,0.898160,0.438437,0.037714,0.750722,-0.093433,0.006572,1.007777,-0.051639,0.154830,0.900998,0.151836,0.019562,0.727480,0.645171,-0.006065,0.974261,0.612468
1001,8.341667,-0.366809,1.448398,0.278381,-0.151337,1.252964,0.494303,0.041747,0.462184,0.191231,-0.102443,1.029489,0.291445,0.062592,0.028931,0.454507,0.215160,0.074512,0.509203,-0.322114,1.269752,0.273544,0.015913,0.471410,0.416032,0.074975,0.029939,0.122979,-0.129229,1.239002,0.031070,0.227579,0.065556,0.087235,0.148331,0.898508,0.438450,0.034814,0.751804,-0.093394,0.006237,1.009028,-0.051764,0.153235,0.901120,0.151931,0.016289,0.728705,0.644876,-0.006882,0.975542,0.612329
1002,8.350000,-0.363840,1.451287,0.278346,-0.152321,1.255180,0.493908,0.041785,0.461782,0.191257,-0.103092,1.031324,0.291469,0.063335,0.028641,0.454601,0.215355,0.074161,0.509102,-0.321160,1.272536,0.273296,0.016174,0.471059,0.416083,0.074524,0.030120,0.122999,-0.126651,1.240986,0.031035,0.226897,0.065453,0.087307,0.148304,0.898625,0.438539,0.032631,0.752736,-0.093420,0.004448,1.010237,-0.051799,0.152940,0.901084,0.152003,0.013260,0.729847,0.644627,-0.008675,0.976851,0.612105
1003,8.358333,-0.362987,1.453659,0.278144,-0.148613,1.257115,0.494248,0.042191,0.461363,0.191337,-0.103340,1.033212,0.291447,0.062611,0.028906,0.454509,0.215492,0.073814,0.508918,-0.319588,1.274879,0.273134,0.015903,0.470856,0.416020,0.074823,0.029974,0.123026,-0.128592,1.242912,0.031026,0.227181,0.065023,0.087345,0.148117,0.898749,0.438613,0.030636,0.753503,-0.093485,0.003066,1.011236,-0.051853,0.151885,0.901143,0.152070,0.010780,0.730767,0.644472,-0.009995,0.978056,0.611968
